date,Operating_PL,Predicted,Lower,Upper,Type
2016-09-01,1281196.0,1303160.7481584419,-416629.90878159367,3022951.4050984774,history
2016-10-01,722830.3333333334,810754.5224541603,-909036.1344858753,2530545.179394196,history
2016-11-01,722830.3333333334,792535.0520265866,-927255.6049134489,2512325.708966622,history
2016-12-01,722830.3333333334,832456.4741275469,-887334.1828124886,2552247.1310675824,history
2017-01-01,642038.0,629438.8861503457,-1090351.7707896899,2349229.543090381,history
2017-02-01,642038.0,627846.8476130713,-1091943.8093269642,2347637.5045531066,history
2017-03-01,642038.0,605876.7033627443,-1113913.9535772912,2325667.36030278,history
2017-04-01,1537119.6666666667,1522334.073145066,-197456.5837949696,3242124.7300851014,history
2017-05-01,1537119.6666666667,1584716.3237192454,-135074.33322079014,3304506.980659281,history
2017-06-01,1537119.6666666667,1458164.5679297312,-261626.0890103043,3177955.2248697667,history
2017-07-01,1231844.6666666667,1267320.0437647048,-452470.6131753307,2987110.7007047404,history
2017-08-01,1231844.6666666667,1066917.567545386,-652873.0893946495,2786708.2244854216,history
2017-09-01,1231844.6666666667,1060904.371813567,-658886.2851264686,2780695.0287536024,history
2017-10-01,1666996.0,879765.4172037849,-840025.2397362506,2599556.0741438204,history
2017-11-01,1666996.0,1458455.4927670718,-261335.1641729637,3178246.1497071073,history
2017-12-01,1666996.0,1275814.82594922,-443975.83099081554,2995605.4828892555,history
2018-01-01,555383.6666666666,1020671.4566729311,-699119.2002671044,2740462.1136129666,history
2018-02-01,555383.6666666666,382201.4060320477,-1337589.2509079878,2101992.062972083,history
2018-03-01,555383.6666666666,648035.0913907364,-1071755.5655492991,2367825.748330772,history
2018-04-01,1144551.6666666667,1299835.4919986739,-419955.16494136164,3019626.1489387094,history
2018-05-01,1144551.6666666667,1115033.529711492,-604757.1272285436,2834824.1866515274,history
2018-06-01,1144551.6666666667,1138512.1875223713,-581278.4694176642,2858302.844462407,history
2018-07-01,1243229.6666666667,1120950.559798968,-598840.0971410675,2840741.2167390035,history
2018-08-01,1243229.6666666667,1149638.6412698836,-570152.0156701519,2869429.298209919,history
2018-09-01,1243229.6666666667,946937.8039291413,-772852.8530108943,2666728.460869177,history
2018-10-01,1035098.3333333334,710577.2387920562,-1009213.4181479793,2430367.8957320917,history
2018-11-01,1035098.3333333334,1010573.3117995341,-709217.3451405014,2730363.9687395697,history
2018-12-01,1035098.3333333334,1132460.239540503,-587330.4173995326,2852250.8964805384,history
2019-01-01,669590.3333333334,761010.1702582696,-958780.4866817659,2480800.827198305,history
2019-02-01,669590.3333333334,678139.627136508,-1041651.0298035275,2397930.2840765435,history
2019-03-01,669590.3333333334,769575.3560319492,-950215.3009080864,2489366.0129719847,history
2019-04-01,1609233.0,1701429.3351644618,-18361.32177557377,3421219.9921044973,history
2019-05-01,1609233.0,1768389.6076955572,48598.950755521655,3488180.2646355927,history
2019-06-01,1609233.0,1738393.003578357,18602.34663832141,3458183.6605183925,history
2019-07-01,1515111.6666666667,1523950.1413150798,-195840.51562495576,3243740.7982551153,history
2019-08-01,1515111.6666666667,1506865.2437198572,-212925.41322017834,3226655.9006598927,history
2019-09-01,1515111.6666666667,1431389.7675190764,-288400.88942095917,3151180.424459112,history
2019-10-01,1142100.6666666667,1155865.257018677,-563925.3999213586,2875655.9139587125,history
2019-11-01,1142100.6666666667,1069504.4517789143,-650286.2051611212,2789295.10871895,history
2019-12-01,1142100.6666666667,1350939.9392567938,-368850.7176832417,3070730.5961968293,history
2020-01-01,-1741513.6666666667,-370627.00689862715,-2090417.6638386627,1349163.6500414084,history
2020-02-01,-1741513.6666666667,-1485739.9560606293,-3205530.613000665,234050.70087940618,history
2020-03-01,-1741513.6666666667,-1448228.5789830275,-3168019.235923063,271562.07795700803,history
2020-04-01,-3704241.0,-4362421.601479344,-6082212.25841938,-2642630.9445393085,history
2020-05-01,-3704241.0,-3347185.6964251027,-5066976.353365138,-1627395.0394850671,history
2020-06-01,-3704241.0,-2898240.3912609606,-4618031.048200997,-1178449.734320925,history
2020-07-01,-3917857.6666666665,-2782134.3728361973,-4501925.029776232,-1062343.7158961617,history
2020-08-01,-3917857.6666666665,-3536390.1495962683,-5256180.806536304,-1816599.4926562328,history
2020-09-01,-3917857.6666666665,-3090902.801000243,-4810693.457940279,-1371112.1440602075,history
2020-10-01,-2325968.0,-2629490.6992455637,-4349281.356185599,-909700.0423055282,history
2020-11-01,-2325968.0,-2023953.03601556,-3743743.6929555954,-304162.3790755244,history
2020-12-01,-2325968.0,-2543798.499141936,-4263589.156081972,-824007.8422019007,history
2021-01-01,-1414644.6666666667,-2622025.3221784225,-4341815.979118458,-902234.665238387,history
2021-02-01,-1414644.6666666667,-1833552.6062960713,-3553343.263236107,-113761.9493560358,history
2021-03-01,-1414644.6666666667,-2308588.6884327815,-4028379.345372817,-588798.031492746,history
2021-04-01,333339.3333333333,-295141.1924866233,-2014931.8494266588,1424649.4644534122,history
2021-05-01,333339.3333333333,-153305.12639844278,-1873095.7833384783,1566485.5305415927,history
2021-06-01,333339.3333333333,-496707.66951618576,-2216498.3264562213,1223082.9874238498,history
2021-07-01,896238.3333333334,614825.019606587,-1104965.6373334485,2334615.6765466225,history
2021-08-01,896238.3333333334,318774.42080579745,-1401016.236134238,2038565.077745833,history
2021-09-01,896238.3333333334,-195987.70965966536,-1915778.3665997009,1523802.9472803702,history
2021-10-01,-742414.3333333334,67364.29066540254,-1652426.366274633,1787154.947605438,history
2021-11-01,-742414.3333333334,-936082.7926466553,-2655873.449586691,783707.8642933802,history
2021-12-01,-742414.3333333334,-433805.92647521384,-2153596.5834152494,1285984.7304648217,history
2022-01-01,-1710881.3333333333,-1444828.3447415684,-3164619.001681604,274962.3121984671,history
2022-02-01,-1710881.3333333333,-1702801.623675109,-3422592.2806151444,16989.033264926635,history
2022-03-01,-1710881.3333333333,-1659160.1260917094,-3378950.783031745,60630.53084832616,history
2022-04-01,739080.6666666666,923756.6221953705,-796034.034744665,2643547.279135406,history
2022-05-01,739080.6666666666,1153836.38314659,-565954.2737934454,2873627.0400866256,history
2022-06-01,739080.6666666666,599773.7469114228,-1120016.9100286127,2319564.4038514583,history
2022-07-01,792671.6666666666,739860.2844231911,-979930.3725168444,2459650.9413632266,history
2022-08-01,792671.6666666666,687081.7777630347,-1032708.8791770008,2406872.43470307,history
2022-09-01,792671.6666666666,823033.2194108954,-896757.4375291402,2542823.876350931,history
2022-10-01,684143.6666666666,334187.47017928073,-1385603.1867607548,2053978.1271193163,history
2022-11-01,684143.6666666666,503082.4350745701,-1216708.2218654654,2222873.0920146056,history
2022-12-01,684143.6666666666,673872.0222159447,-1045918.6347240908,2393662.6791559802,history
2023-01-01,-414533.6666666667,-355689.28248600056,-2075479.939426036,1364101.374454035,history
2023-02-01,-414533.6666666667,-468067.4906230499,-2187858.1475630854,1251723.1663169856,history
2023-03-01,-414533.6666666667,-160637.61003941484,-1880428.2669794504,1559153.0469006207,history
2023-04-01,1813476.3333333333,1450496.7036371883,-269293.9533028472,3170287.360577224,history
2023-05-01,1813476.3333333333,2250887.862423078,531097.2054830426,3970678.5193631137,history
2023-06-01,1813476.3333333333,1820916.2370656896,101125.58012565412,3540706.894005725,history
2023-07-01,544214.6666666666,1349751.5517354608,-370039.10520457476,3069542.2086754963,history
2023-08-01,544214.6666666666,51659.91122100502,-1668130.7457190305,1771450.5681610405,history
2023-09-01,544214.6666666666,425674.2267402443,-1294116.4301997912,2145464.88368028,history
2023-10-01,651985.0,156624.4041792173,-1563166.2527608182,1876415.0611192528,history
2023-11-01,651985.0,513224.6040238007,-1206566.0529162348,2233015.260963836,history
2023-12-01,651985.0,578424.2001314745,-1141366.456808561,2298214.85707151,history
2024-01-01,-556924.6666666666,220182.8659542231,-1499607.7909858124,1939973.5228942586,history
2024-02-01,-556924.6666666666,-553538.6918899752,-2273329.3488300107,1166251.9650500603,history
2024-03-01,-556924.6666666666,-206687.27222341672,-1926477.9291634522,1513103.3847166188,history
2024-04-01,1275709.0,994788.8154140771,-725001.8415259584,2714579.4723541127,history
2024-05-01,1275709.0,1722562.1061934084,2771.449253372848,3442352.763133444,history
2024-06-01,1275709.0,1416303.8224247675,-303486.834515268,3136094.479364803,history
2024-07-01,687596.6666666666,1010719.5000032806,-709071.1569367549,2730510.156943316,history
2024-08-01,687596.6666666666,853063.7768110144,-866726.8801290211,2572854.43375105,history
2024-09-01,687596.6666666666,1148590.2982873446,-571200.3586526909,2868380.95522738,history
2024-10-01,813769.3333333334,1115941.5567336432,-603849.1002063924,2835732.2136736787,history
2024-11-01,813769.3333333334,1180734.6037725848,-539056.0531674507,2900525.2607126203,history
2024-12-01,813769.3333333334,1315444.8831414394,-404345.7737985961,3035235.540081475,history
2025-01-01,-77708.0,478974.6426698887,-1240816.0142701468,2198765.299609924,history
2025-02-01,-77708.0,206739.36610965943,-1513051.290830376,1926530.023049695,history
2025-03-01,-77708.0,257577.6122065233,-1462213.0447335122,1977368.2691465588,history
2025-04-01,1337975.3333333333,1478153.5991870724,-241637.05775296316,3197944.256127108,history
2025-05-01,1337975.3333333333,1826753.2559908717,106962.59905083617,3546543.912930907,history
2025-06-01,1337975.3333333333,1517379.6657330152,-202410.99120702036,3237170.3226730507,history
2025-07-01,1337975.3333333333,1380222.6740342965,-339567.982905739,3100013.330974332,history
2025-08-01,1337975.3333333333,1523954.191138302,-195836.46580173355,3243744.8480783375,history
2025-08-31,,329337.65272352565,-1390453.0042165099,2049128.3096635612,forecast
2025-09-30,,112678.06057168264,-1607112.5963683529,1832468.7175117182,forecast
2025-10-31,,158543.5219453983,-1561247.1349946372,1878334.1788854338,forecast
2025-11-30,,222054.19429957215,-1497736.4626404634,1941844.8512396077,forecast
2025-12-31,,280070.41832791734,-1439720.2386121182,1999861.0752679529,forecast
2026-01-31,,374690.4977427628,-1345100.1591972727,2094481.1546827983,forecast
2026-02-28,,526932.9443571316,-1192857.712582904,2246723.601297167,forecast
2026-03-31,,718068.576669489,-1001722.0802705465,2437859.2336095246,forecast
2026-04-30,,904225.2950833943,-815565.3618566412,2624015.95202343,forecast
2026-05-31,,1038378.7133114971,-681411.9436285384,2758169.3702515326,forecast
2026-06-30,,1087924.6046059197,-631866.0523341158,2807715.261545955,forecast
2026-07-31,,1044417.3949240102,-675373.2620160254,2764208.0518640457,forecast
