date,Actual,OLS_Pred,ARIMAX_Pred,regime
2020-10-01,-2145263.257984922,-2456627.4347267873,-1992695.1984786098,2020+
2020-11-01,-2336072.1498916107,-2195293.2966931863,-1882071.0867583954,2020+
2020-12-01,-2496568.5921234675,-2158969.2164624343,-2015813.6162927877,2020+
2021-01-01,-1367743.3394532257,-1888354.914680382,-1938382.677922683,2020+
2020-03-01,-1558712.8317273518,-929535.2885928429,-1988225.1501966387,2020+
2020-04-01,-3219656.4738150435,-941101.4725084535,-1926949.9043493727,2020+
2020-05-01,-3664191.974930728,-1148034.475519693,-2035834.7982328348,2020+
2020-06-01,-4228874.55125423,-1411154.6870873065,-2088744.0585883055,2020+
2020-07-01,-3873287.605651903,-1735958.1183420368,-2182866.956616116,2020+
2020-08-01,-4227825.573815773,-1919387.3619203803,-2150358.7922938447,2020+
2020-09-01,-3652459.8205323233,-1814313.5192935998,-1923495.5660395166,2020+
2020-10-01,-2145263.257984922,-1861806.0701757362,-1990422.0264180382,2020+
2020-11-01,-2336072.1498916107,-1640933.6686273827,-1879924.109401775,2020+
2020-12-01,-2496568.5921234675,-1558862.546398747,-2013514.0718122546,2020+
2021-01-01,-1367743.3394532257,-1292488.009631707,-1936171.4629314009,2020+
2021-02-01,-1210609.830166089,-1036998.0142606361,-1778001.1886951008,2020+
2020-04-01,-3219656.4738150435,-1175927.23674637,-1921491.209588634,2020+
2020-05-01,-3664191.974930728,-1403231.7520764123,-2026628.7245767799,2020+
2020-06-01,-4228874.55125423,-1676881.0722145764,-2075776.4033929165,2020+
2020-07-01,-3873287.605651903,-2012134.1088891132,-2165640.141040646,2020+
2020-08-01,-4227825.573815773,-2184094.8936326797,-2129774.572367752,2020+
2020-09-01,-3652459.8205323233,-2040544.115880256,-1901855.7802689555,2020+
2020-10-01,-2145263.257984922,-2083397.712282362,-1964695.4666469344,2020+
2020-11-01,-2336072.1498916107,-1839689.4446976697,-1852482.3309011948,2020+
2020-12-01,-2496568.5921234675,-1764352.8571564113,-1980761.1466477013,2020+
2021-01-01,-1367743.3394532257,-1487974.887387571,-1901450.1189773907,2020+
2021-02-01,-1210609.830166089,-1218897.4599362197,-1743158.3951129778,2020+
2021-03-01,-1665580.8303806852,-1029545.3868510235,-1548384.3223730072,2020+
2020-05-01,-3664191.974930728,-16675745.071837666,-16391084.808423985,2020+
2020-06-01,-4228874.55125423,-17277363.924790096,-16769968.489082834,2020+
2020-07-01,-3873287.605651903,-18259781.499469217,-17476567.589463975,2020+
2020-08-01,-4227825.573815773,-18152264.03129858,-17168077.232457247,2020+
2020-09-01,-3652459.8205323233,-16303443.518872775,-15313828.323722739,2020+
2020-10-01,-2145263.257984922,-16828342.466145437,-15802274.762506818,2020+
2020-11-01,-2336072.1498916107,-15751731.620585896,-14883210.097837066,2020+
2020-12-01,-2496568.5921234675,-16640773.4297556,-15896181.73319866,2020+
2021-01-01,-1367743.3394532257,-15755786.56966322,-15242767.315177387,2020+
2021-02-01,-1210609.830166089,-14272681.280186037,-13958344.33086287,2020+
2021-03-01,-1665580.8303806852,-12590513.011715502,-12384942.475816455,2020+
2021-04-01,299435.2277486612,-3211770.634961679,-3156023.7342242827,2020+
2020-06-01,-4228874.55125423,-14381841.463385342,-16797888.24288358,2020+
2020-07-01,-3873287.605651903,-15255107.795226734,-17505663.733685978,2020+
2020-08-01,-4227825.573815773,-15180163.033589013,-17196659.782353472,2020+
2020-09-01,-3652459.8205323233,-13611850.764797034,-15339323.791842313,2020+
2020-10-01,-2145263.257984922,-13999817.719354706,-15828583.426267285,2020+
